month,region,covid_deaths_2020,avg_deaths,noncovid_deaths_2020,tot_deaths_2015,tot_deaths_2016,tot_deaths_2017,tot_deaths_2018,tot_deaths_2019,tot_deaths_2020
6,Lazio,102.0,4467.4,4184.0,4417,4293,4527,4297,4803,4286
6,Liguria,93.0,1706.8,1561.0,1732,1673,1664,1654,1811,1654
6,Lombardia,532.0,7519.2,7161.0,7395,7306,7361,7373,8161,7693
6,Marche,4.0,1351.4,1405.0,1423,1336,1429,1218,1351,1409
6,Molise,1.0,287.4,302.0,286,283,288,281,299,303
6,Piemonte,223.0,4108.0,3759.0,4109,3936,4138,3994,4363,3982
6,Puglia,41.0,3002.0,3148.0,2841,2842,3183,2907,3237,3189
6,Sardegna,3.0,1267.8,1234.0,1231,1211,1281,1231,1385,1237
6,Sicilia,8.0,3971.2,3744.0,3916,3842,4121,3766,4211,3752
6,Toscana,63.0,3315.2,3185.0,3419,3203,3277,3161,3516,3248
6,Trentino-Alto Adige,-56.0,716.0,782.0,681,683,701,757,758,726
6,Umbria,4.0,783.8,773.0,753,754,832,732,848,777
6,Valle d'Aosta,3.0,111.2,107.0,123,99,117,110,107,110
6,Veneto,94.0,3699.8,3686.0,3592,3723,3660,3604,3920,3780
7,Abruzzo,8.0,1258.0,1147.0,1513,1147,1230,1156,1244,1155
7,Basilicata,1.0,539.2,504.0,583,497,551,522,543,505
7,Calabria,0.0,1636.0,1613.0,1718,1549,1609,1669,1635,1613
7,Campania,3.0,4401.2,4316.0,5118,4139,4366,4097,4286,4319
7,Emilia-Romagna,29.0,4056.2,4075.0,4490,3937,3920,3868,4066,4104
7,Lazio,26.0,4763.0,4704.0,5352,4562,4554,4662,4685,4730
7,Liguria,9.0,1750.4,1657.0,1978,1665,1634,1753,1722,1666
7,Lombardia,162.0,8014.8,7595.0,9387,7586,7339,7678,8084,7757
7,Marche,-4.0,1540.2,1545.0,1827,1502,1459,1399,1514,1541
7,Molise,0.0,322.2,308.0,375,307,317,296,316,308
7,Piemonte,39.0,4441.6,4136.0,5092,4239,4074,4165,4638,4175
7,Puglia,7.0,3276.2,3322.0,3772,3119,3277,3088,3125,3329
7,Sardegna,1.0,1322.6,1397.0,1362,1243,1346,1353,1309,1398
7,Sicilia,1.0,4248.8,4135.0,4481,4098,4317,4123,4225,4136
7,Toscana,30.0,3571.4,3492.0,4036,3521,3275,3392,3633,3522
7,Trentino-Alto Adige,0.0,729.0,741.0,758,730,719,716,722,741
7,Umbria,0.0,874.8,806.0,1050,830,827,792,875,806
7,Valle d'Aosta,0.0,128.8,108.0,154,132,115,124,119,108
7,Veneto,62.0,3807.0,3831.0,4163,3725,3659,3661,3827,3893
8,Abruzzo,0.0,1232.2,1216.0,1193,1239,1434,1151,1144,1216
8,Basilicata,0.0,517.2,517.0,526,491,595,477,497,517
8,Calabria,0.0,1610.4,1729.0,1585,1488,1859,1573,1547,1729
8,Campania,10.0,4340.8,4320.0,4387,4115,4823,4183,4196,4330
