date,region,deaths
2020-03-02 18:00:00,Basilicata,0
2020-03-02 18:00:00,Calabria,0
2020-03-02 18:00:00,Campania,0
2020-03-02 18:00:00,Emilia-Romagna,11
2020-03-02 18:00:00,Friuli Venezia Giulia,0
2020-03-02 18:00:00,Lazio,0
2020-03-02 18:00:00,Liguria,0
2020-03-02 18:00:00,Lombardia,38
2020-03-02 18:00:00,Marche,1
2020-03-02 18:00:00,Molise,0
2020-03-02 18:00:00,P.A. Bolzano,0
2020-03-02 18:00:00,P.A. Trento,0
2020-03-02 18:00:00,Piemonte,0
2020-03-02 18:00:00,Puglia,0
2020-03-02 18:00:00,Sardegna,0
2020-03-02 18:00:00,Sicilia,0
2020-03-02 18:00:00,Toscana,0
2020-03-02 18:00:00,Umbria,0
2020-03-02 18:00:00,Valle d'Aosta,0
2020-03-02 18:00:00,Veneto,2
2020-03-03 18:00:00,Abruzzo,0
2020-03-03 18:00:00,Basilicata,0
2020-03-03 18:00:00,Calabria,0
2020-03-03 18:00:00,Campania,0
2020-03-03 18:00:00,Emilia-Romagna,18
2020-03-03 18:00:00,Friuli Venezia Giulia,0
2020-03-03 18:00:00,Lazio,0
2020-03-03 18:00:00,Liguria,1
2020-03-03 18:00:00,Lombardia,55
2020-03-03 18:00:00,Marche,2
2020-03-03 18:00:00,Molise,0
2020-03-03 18:00:00,P.A. Bolzano,0
2020-03-03 18:00:00,P.A. Trento,0
2020-03-03 18:00:00,Piemonte,0
2020-03-03 18:00:00,Puglia,0
2020-03-03 18:00:00,Sardegna,0
2020-03-03 18:00:00,Sicilia,0
2020-03-03 18:00:00,Toscana,0
2020-03-03 18:00:00,Umbria,0
2020-03-03 18:00:00,Valle d'Aosta,0
2020-03-03 18:00:00,Veneto,3
2020-03-04 17:00:00,Abruzzo,0
2020-03-04 17:00:00,Basilicata,0
2020-03-04 17:00:00,Calabria,0
2020-03-04 17:00:00,Campania,0
2020-03-04 17:00:00,Emilia-Romagna,22
2020-03-04 17:00:00,Friuli Venezia Giulia,0
2020-03-04 17:00:00,Lazio,0
2020-03-04 17:00:00,Liguria,1
2020-03-04 17:00:00,Lombardia,73
2020-03-04 17:00:00,Marche,4
2020-03-04 17:00:00,Molise,0
2020-03-04 17:00:00,P.A. Bolzano,0
2020-03-04 17:00:00,P.A. Trento,0
2020-03-04 17:00:00,Piemonte,0
2020-03-04 17:00:00,Puglia,1
2020-03-04 17:00:00,Sardegna,0
2020-03-04 17:00:00,Sicilia,0
2020-03-04 17:00:00,Toscana,0
2020-03-04 17:00:00,Umbria,0
2020-03-04 17:00:00,Valle d'Aosta,0
2020-03-04 17:00:00,Veneto,6
2020-03-05 17:00:00,Abruzzo,0
2020-03-05 17:00:00,Basilicata,0
2020-03-05 17:00:00,Calabria,0
2020-03-05 17:00:00,Campania,0
2020-03-05 17:00:00,Emilia-Romagna,30
2020-03-05 17:00:00,Friuli Venezia Giulia,0
2020-03-05 17:00:00,Lazio,0
2020-03-05 17:00:00,Liguria,3
2020-03-05 17:00:00,Lombardia,98
2020-03-05 17:00:00,Marche,4
2020-03-05 17:00:00,Molise,0
2020-03-05 17:00:00,P.A. Bolzano,0
2020-03-05 17:00:00,P.A. Trento,0
2020-03-05 17:00:00,Piemonte,2
2020-03-05 17:00:00,Puglia,1
2020-03-05 17:00:00,Sardegna,0
2020-03-05 17:00:00,Sicilia,0
2020-03-05 17:00:00,Toscana,0
2020-03-05 17:00:00,Umbria,0
2020-03-05 17:00:00,Valle d'Aosta,0
2020-03-05 17:00:00,Veneto,10
